onset	duration	parametric_modulation	regressor	description
46.028	0.92825	1	1	HV Go
123.03	0.92825	1	1	HV Go
140.03	0.92825	1	1	HV Go
151.03	0.92825	1	1	HV Go
154.03	0.92825	1	1	HV Go
172.03	0.92825	1	1	HV Go
175.03	0.92825	1	1	HV Go
179.03	0.92825	1	1	HV Go
46.028	0.92825	-0.25189	2	HV Go - by choice
123.03	0.92825	0.2178	2	HV Go - by choice
140.03	0.92825	0.051136	2	HV Go - by choice
151.03	0.92825	-0.25189	2	HV Go - by choice
154.03	0.92825	0.051136	2	HV Go - by choice
172.03	0.92825	0.2178	2	HV Go - by choice
175.03	0.92825	0.2178	2	HV Go - by choice
179.03	0.92825	-0.25189	2	HV Go - by choice
46.028	0.92825	-0.04	3	HV Go - by value diff
123.03	0.92825	-0.03	3	HV Go - by value diff
140.03	0.92825	0.03	3	HV Go - by value diff
151.03	0.92825	0.12	3	HV Go - by value diff
154.03	0.92825	0	3	HV Go - by value diff
172.03	0.92825	-0.11	3	HV Go - by value diff
175.03	0.92825	-0.09	3	HV Go - by value diff
179.03	0.92825	0.06	3	HV Go - by value diff
13.027	0.92825	1	4	HV NoGo
21.027	0.92825	1	4	HV NoGo
31.027	0.92825	1	4	HV NoGo
91.028	0.92825	1	4	HV NoGo
96.028	0.92825	1	4	HV NoGo
99.028	0.92825	1	4	HV NoGo
126.03	0.92825	1	4	HV NoGo
169.03	0.92825	1	4	HV NoGo
188.03	0.92825	1	4	HV NoGo
13.027	0.92825	-0.24242	5	HV NoGo - by choice
21.027	0.92825	-0.24242	5	HV NoGo - by choice
31.027	0.92825	-0.39394	5	HV NoGo - by choice
91.028	0.92825	-0.075758	5	HV NoGo - by choice
96.028	0.92825	0.25758	5	HV NoGo - by choice
99.028	0.92825	0.25758	5	HV NoGo - by choice
126.03	0.92825	0.25758	5	HV NoGo - by choice
169.03	0.92825	0.25758	5	HV NoGo - by choice
188.03	0.92825	-0.075758	5	HV NoGo - by choice
13.027	0.92825	-0.03	6	HV NoGo - by value diff
21.027	0.92825	-0.12	6	HV NoGo - by value diff
31.027	0.92825	-0.03	6	HV NoGo - by value diff
91.028	0.92825	0.02	6	HV NoGo - by value diff
96.028	0.92825	0.07	6	HV NoGo - by value diff
99.028	0.92825	-0.02	6	HV NoGo - by value diff
126.03	0.92825	0.09	6	HV NoGo - by value diff
169.03	0.92825	0.06	6	HV NoGo - by value diff
188.03	0.92825	-0.09	6	HV NoGo - by value diff
13.027	0.92825	-0.065159	7	HV - by RT
21.027	0.92825	0.055661	7	HV - by RT
31.027	0.92825	0.11159	7	HV - by RT
46.028	0.92825	0.15635	7	HV - by RT
91.028	0.92825	0.070701	7	HV - by RT
96.028	0.92825	0.12665	7	HV - by RT
99.028	0.92825	0.037621	7	HV - by RT
123.03	0.92825	-0.20865	7	HV - by RT
126.03	0.92825	-0.15576	7	HV - by RT
140.03	0.92825	-0.033989	7	HV - by RT
151.03	0.92825	0.18886	7	HV - by RT
154.03	0.92825	0.16889	7	HV - by RT
