onset	duration	parametric_modulation	regressor	description
75.029	0.92825	1	1	HV Go
79.03	0.92825	1	1	HV Go
99.027	0.92825	1	1	HV Go
105.03	0.92825	1	1	HV Go
109.03	0.92825	1	1	HV Go
127.03	0.92825	1	1	HV Go
157.03	0.92825	1	1	HV Go
163.03	0.92825	1	1	HV Go
177.03	0.92825	1	1	HV Go
185.03	0.92825	1	1	HV Go
188.03	0.92825	1	1	HV Go
75.029	0.92825	0.22727	2	HV Go - by choice
79.03	0.92825	-0.52273	2	HV Go - by choice
99.027	0.92825	-0.35606	2	HV Go - by choice
105.03	0.92825	-0.35606	2	HV Go - by choice
109.03	0.92825	0.22727	2	HV Go - by choice
127.03	0.92825	0.22727	2	HV Go - by choice
157.03	0.92825	0.22727	2	HV Go - by choice
163.03	0.92825	0.22727	2	HV Go - by choice
177.03	0.92825	0.22727	2	HV Go - by choice
185.03	0.92825	-0.35606	2	HV Go - by choice
188.03	0.92825	0.22727	2	HV Go - by choice
75.029	0.92825	0.03	3	HV Go - by value diff
79.03	0.92825	0.02	3	HV Go - by value diff
99.027	0.92825	-0.04	3	HV Go - by value diff
105.03	0.92825	-0.02	3	HV Go - by value diff
109.03	0.92825	0.01	3	HV Go - by value diff
127.03	0.92825	-0.05	3	HV Go - by value diff
157.03	0.92825	0.02	3	HV Go - by value diff
163.03	0.92825	0.05	3	HV Go - by value diff
177.03	0.92825	0.02	3	HV Go - by value diff
185.03	0.92825	0.02	3	HV Go - by value diff
188.03	0.92825	-0.04	3	HV Go - by value diff
2.0328	0.92825	1	4	HV NoGo
9.0253	0.92825	1	4	HV NoGo
38.026	0.92825	1	4	HV NoGo
45.026	0.92825	1	4	HV NoGo
56.026	0.92825	1	4	HV NoGo
124.03	0.92825	1	4	HV NoGo
2.0328	0.92825	0.18056	5	HV NoGo - by choice
9.0253	0.92825	0.097222	5	HV NoGo - by choice
38.026	0.92825	-0.069444	5	HV NoGo - by choice
45.026	0.92825	-0.15278	5	HV NoGo - by choice
56.026	0.92825	0.097222	5	HV NoGo - by choice
124.03	0.92825	-0.15278	5	HV NoGo - by choice
2.0328	0.92825	-0.03	6	HV NoGo - by value diff
9.0253	0.92825	0.01	6	HV NoGo - by value diff
38.026	0.92825	-0.05	6	HV NoGo - by value diff
45.026	0.92825	-0.06	6	HV NoGo - by value diff
56.026	0.92825	0.06	6	HV NoGo - by value diff
124.03	0.92825	-0.01	6	HV NoGo - by value diff
2.0328	0.92825	0.1857	7	HV - by RT
9.0253	0.92825	-0.3668	7	HV - by RT
38.026	0.92825	0.081736	7	HV - by RT
45.026	0.92825	-0.013394	7	HV - by RT
56.026	0.92825	-0.048534	7	HV - by RT
75.029	0.92825	0.033526	7	HV - by RT
79.03	0.92825	0.37577	7	HV - by RT
99.027	0.92825	0.20684	7	HV - by RT
105.03	0.92825	0.037796	7	HV - by RT
109.03	0.92825	-0.044334	7	HV - by RT
124.03	0.92825	0.19644	7	HV - by RT
127.03	0.92825	0.047426	7	HV - by RT
157.03	0.92825	0.12506	7	HV - by RT
163.03	0.92825	-0.35316	7	HV - by RT
177.03	0.92825	-0.22758	7	HV - by RT
185.03	0.92825	-0.10101	7	HV - by RT
188.03	0.92825	-0.13545	7	HV - by RT
6.0253	0.92825	1	8	LV Go
34.026	0.92825	1	8	LV Go
48.026	0.92825	1	8	LV Go
53.026	0.92825	1	8	LV Go
96.027	0.92825	1	8	LV Go
121.03	0.92825	1	8	LV Go
149.03	0.92825	1	8	LV Go
6.0253	0.92825	-0.10714	9	LV Go - by choice
34.026	0.92825	0.059524	9	LV Go - by choice
48.026	0.92825	-0.02381	9	LV Go - by choice
53.026	0.92825	0.059524	9	LV Go - by choice
96.027	0.92825	0.059524	9	LV Go - by choice
121.03	0.92825	0.059524	9	LV Go - by choice
149.03	0.92825	-0.10714	9	LV Go - by choice
6.0253	0.92825	0.04	10	LV Go - by value diff
34.026	0.92825	0.1	10	LV Go - by value diff
48.026	0.92825	0.05	10	LV Go - by value diff
53.026	0.92825	0.13	10	LV Go - by value diff
96.027	0.92825	0.06	10	LV Go - by value diff
121.03	0.92825	0.08	10	LV Go - by value diff
149.03	0.92825	-0.01	10	LV Go - by value diff
14.025	0.92825	1	11	LV NoGo
20.026	0.92825	1	11	LV NoGo
42.026	0.92825	1	11	LV NoGo
66.027	0.92825	1	11	LV NoGo
72.028	0.92825	1	11	LV NoGo
84.031	0.92825	1	11	LV NoGo
91.032	0.92825	1	11	LV NoGo
137.03	0.92825	1	11	LV NoGo
153.03	0.92825	1	11	LV NoGo
160.03	0.92825	1	11	LV NoGo
173.03	0.92825	1	11	LV NoGo
14.025	0.92825	-0.19697	12	LV NoGo - by choice
20.026	0.92825	0.2197	12	LV NoGo - by choice
